# Face portrait coordinates (high-resolution point cloud)
# Format: x,y,z  (z is always 0 — planar sketch)
# Total points: 22000
# Coordinate system: centered, roughly x ∈ [-1.1, 1.1], y ∈ [-1.0, 1.2]
# Sorted top → bottom (higher y first)
#
-0.20100,0.87408,0.0
0.51000,0.87408,0.0
0.43800,0.87408,0.0
0.20100,0.87408,0.0
0.56400,0.87408,0.0
0.38100,0.87408,0.0
-0.08700,0.87408,0.0
0.08700,0.87408,0.0
0.15300,0.87408,0.0
-0.27600,0.87408,0.0
0.03300,0.87408,0.0
-0.01800,0.87408,0.0
0.39300,0.87408,0.0
-0.28500,0.87408,0.0
0.41700,0.87408,0.0
-0.57300,0.87408,0.0
0.23100,0.87408,0.0
-0.56100,0.87408,0.0
0.11100,0.87408,0.0
-0.00900,0.87408,0.0
0.44700,0.87408,0.0
-0.49800,0.87408,0.0
-0.51000,0.87408,0.0
-0.33900,0.87408,0.0
-0.35700,0.87408,0.0
-0.55200,0.87408,0.0
-0.42000,0.87408,0.0
0.44400,0.87408,0.0
0.43500,0.87408,0.0
0.12900,0.87408,0.0
-0.33600,0.87408,0.0
0.37800,0.87408,0.0
-0.24600,0.87408,0.0
-0.20400,0.87408,0.0
0.03900,0.87113,0.0
0.53100,0.87113,0.0
-0.60000,0.87113,0.0
0.29700,0.87113,0.0
-0.09300,0.87113,0.0
0.15000,0.87113,0.0
0.27900,0.87113,0.0
-0.35700,0.87113,0.0
0.10500,0.87113,0.0
-0.43200,0.87113,0.0
0.44100,0.87113,0.0
0.56100,0.87113,0.0
-0.11700,0.87113,0.0
-0.10500,0.87113,0.0
0.01500,0.87113,0.0
-0.33600,0.87113,0.0
-0.37800,0.87113,0.0
0.06000,0.87113,0.0
0.45000,0.87113,0.0
-0.51000,0.87113,0.0
-0.38100,0.87113,0.0
0.39000,0.87113,0.0
0.25500,0.87113,0.0
0.13800,0.87113,0.0
0.18300,0.87113,0.0
-0.18300,0.87113,0.0
-0.41700,0.87113,0.0
0.35700,0.87113,0.0
0.14400,0.87113,0.0
-0.07500,0.87113,0.0
-0.22500,0.87113,0.0
0.47700,0.87113,0.0
0.40800,0.87113,0.0
0.04800,0.87113,0.0
-0.47100,0.87113,0.0
-0.47400,0.87113,0.0
-0.13800,0.87113,0.0
0.35100,0.87113,0.0
0.43500,0.87113,0.0
0.15300,0.87113,0.0
-0.09000,0.87113,0.0
-0.02100,0.87113,0.0
-0.56400,0.87113,0.0
-0.37500,0.87113,0.0
-0.31200,0.87113,0.0
-0.52500,0.87113,0.0
-0.54600,0.87113,0.0
0.37200,0.87113,0.0
-0.25500,0.87113,0.0
-0.58800,0.87113,0.0
-0.61500,0.87113,0.0
-0.31500,0.87113,0.0
-0.43500,0.87113,0.0
-0.58500,0.87113,0.0
-0.27300,0.87113,0.0
-0.18000,0.87113,0.0
0.39600,0.87113,0.0
0.00000,0.87113,0.0
0.47100,0.87113,0.0
-0.06000,0.87113,0.0
0.09000,0.87113,0.0
-0.41100,0.87113,0.0
-0.36900,0.87113,0.0
0.31800,0.87113,0.0
0.03600,0.87113,0.0
0.42000,0.87113,0.0
0.04500,0.87113,0.0
0.12600,0.87113,0.0
0.23100,0.87113,0.0
-0.42300,0.87113,0.0
-0.34500,0.87113,0.0
0.55500,0.87113,0.0
-0.27900,0.87113,0.0
0.00000,0.86818,0.0
0.54900,0.86818,0.0
-0.28200,0.86818,0.0
0.56400,0.86818,0.0
-0.17100,0.86818,0.0
0.10500,0.86818,0.0
0.52500,0.86818,0.0
-0.37800,0.86818,0.0
-0.54600,0.86818,0.0
-0.16800,0.86818,0.0
0.18000,0.86818,0.0
-0.48300,0.86818,0.0
-0.26400,0.86818,0.0
0.06900,0.86818,0.0
-0.37500,0.86818,0.0
0.48000,0.86818,0.0
0.38100,0.86818,0.0
0.40800,0.86818,0.0
0.41700,0.86818,0.0
-0.48900,0.86818,0.0
0.46500,0.86818,0.0
-0.57600,0.86818,0.0
0.39600,0.86818,0.0
-0.05100,0.86818,0.0
-0.44400,0.86818,0.0
-0.35100,0.86818,0.0
0.38700,0.86818,0.0
-0.23100,0.86818,0.0
0.18600,0.86818,0.0
0.43500,0.86818,0.0
-0.08100,0.86818,0.0
0.03000,0.86818,0.0
0.44700,0.86818,0.0
-0.43500,0.86818,0.0
-0.60000,0.86818,0.0
-0.27900,0.86818,0.0
-0.11700,0.86818,0.0
0.21000,0.86818,0.0
-0.43200,0.86818,0.0
0.11400,0.86818,0.0
-0.10200,0.86818,0.0
-0.30900,0.86818,0.0
-0.13500,0.86818,0.0
0.51300,0.86818,0.0
0.03900,0.86818,0.0
-0.04800,0.86818,0.0
-0.45000,0.86818,0.0
-0.22200,0.86818,0.0
0.06600,0.86818,0.0
-0.15300,0.86818,0.0
-0.52200,0.86818,0.0
-0.58200,0.86818,0.0
0.00300,0.86818,0.0
-0.09600,0.86818,0.0
-0.32100,0.86818,0.0
-0.03900,0.86818,0.0
-0.25500,0.86818,0.0
-0.13200,0.86818,0.0
0.30300,0.86818,0.0
-0.29400,0.86818,0.0
0.21300,0.86523,0.0
-0.04800,0.86523,0.0
0.02700,0.86523,0.0
-0.13500,0.86523,0.0
-0.42900,0.86523,0.0
0.26400,0.86523,0.0
-0.05400,0.86523,0.0
0.39300,0.86523,0.0
-0.22800,0.86523,0.0
-0.17400,0.86523,0.0
0.06300,0.86523,0.0
-0.25200,0.86523,0.0
0.41700,0.86523,0.0
0.07200,0.86523,0.0
0.50400,0.86523,0.0
0.17400,0.86523,0.0
-0.35700,0.86523,0.0
-0.38100,0.86523,0.0
0.09900,0.86523,0.0
-0.30000,0.86523,0.0
-0.39300,0.86523,0.0
0.42600,0.86523,0.0
0.07500,0.86523,0.0
0.06900,0.86523,0.0
0.40200,0.86523,0.0
0.49200,0.86523,0.0
-0.03300,0.86523,0.0
-0.28800,0.86523,0.0
0.53700,0.86523,0.0
0.46800,0.86523,0.0
-0.46500,0.86523,0.0
0.22800,0.86523,0.0
0.42900,0.86523,0.0
0.37200,0.86523,0.0
0.11400,0.86523,0.0
0.04500,0.86523,0.0
0.42000,0.86523,0.0
0.43800,0.86523,0.0
0.17700,0.86523,0.0
-0.61500,0.86523,0.0
0.12000,0.86523,0.0
-0.57600,0.86523,0.0
-0.14100,0.86523,0.0
-0.24600,0.86523,0.0
0.12900,0.86523,0.0
-0.41400,0.86523,0.0
0.24600,0.86523,0.0
-0.33300,0.86523,0.0
0.47400,0.86523,0.0
-0.31200,0.86523,0.0
0.27000,0.86523,0.0
-0.54900,0.86523,0.0
-0.25500,0.86523,0.0
0.56100,0.86523,0.0
-0.17100,0.86523,0.0
0.34200,0.86523,0.0
0.27900,0.86523,0.0
0.39900,0.86523,0.0
0.36600,0.86523,0.0
-0.32700,0.86228,0.0
0.48600,0.86228,0.0
-0.24900,0.86228,0.0
0.49800,0.86228,0.0
0.02400,0.86228,0.0
-0.55200,0.86228,0.0
0.45300,0.86228,0.0
-0.53700,0.86228,0.0
0.07200,0.86228,0.0
-0.09600,0.86228,0.0
-0.58200,0.86228,0.0
-0.24600,0.86228,0.0
-0.09900,0.86228,0.0
0.53100,0.86228,0.0
0.57600,0.86228,0.0
0.45900,0.86228,0.0
-0.42900,0.86228,0.0
0.16800,0.86228,0.0
0.09300,0.86228,0.0
-0.58800,0.86228,0.0
0.35400,0.86228,0.0
-0.55800,0.86228,0.0
-0.27000,0.86228,0.0
0.05100,0.86228,0.0
0.23100,0.86228,0.0
-0.03900,0.86228,0.0
0.17700,0.86228,0.0
-0.19200,0.86228,0.0
0.02700,0.86228,0.0
-0.38700,0.86228,0.0
0.14100,0.86228,0.0
0.54300,0.86228,0.0
-0.27600,0.86228,0.0
0.52800,0.86228,0.0
-0.04200,0.86228,0.0
0.52200,0.86228,0.0
0.51000,0.86228,0.0
0.27900,0.86228,0.0
-0.52800,0.86228,0.0
-0.54900,0.86228,0.0
-0.48900,0.86228,0.0
0.41700,0.86228,0.0
-0.39000,0.86228,0.0
0.56400,0.86228,0.0
0.04800,0.86228,0.0
0.36000,0.86228,0.0
-0.36600,0.86228,0.0
0.31800,0.86228,0.0
0.43500,0.86228,0.0
0.06900,0.86228,0.0
0.20700,0.86228,0.0
0.28200,0.86228,0.0
0.27600,0.86228,0.0
-0.00900,0.86228,0.0
-0.02400,0.86228,0.0
-0.43500,0.86228,0.0
-0.28200,0.86228,0.0
-0.26400,0.86228,0.0
0.01500,0.86228,0.0
-0.08400,0.86228,0.0
-0.26100,0.86228,0.0
-0.29100,0.86228,0.0
-0.55500,0.86228,0.0
0.53100,0.85934,0.0
0.00600,0.85934,0.0
-0.39900,0.85934,0.0
-0.44100,0.85934,0.0
-0.36000,0.85934,0.0
0.21600,0.85934,0.0
0.02700,0.85934,0.0
-0.45300,0.85934,0.0
0.41700,0.85934,0.0
0.16800,0.85934,0.0
-0.46500,0.85934,0.0
-0.58200,0.85934,0.0
-0.02100,0.85934,0.0
0.28200,0.85934,0.0
-0.37200,0.85934,0.0
0.31800,0.85934,0.0
-0.52200,0.85934,0.0
-0.03300,0.85934,0.0
0.10200,0.85934,0.0
-0.30300,0.85934,0.0
-0.60900,0.85934,0.0
0.27300,0.85934,0.0
-0.24600,0.85934,0.0
0.46500,0.85934,0.0
-0.43800,0.85934,0.0
0.20700,0.85934,0.0
0.50100,0.85934,0.0
0.17100,0.85934,0.0
-0.11400,0.85934,0.0
-0.12900,0.85934,0.0
-0.25500,0.85934,0.0
-0.34800,0.85934,0.0
0.34500,0.85934,0.0
-0.59400,0.85934,0.0
-0.49200,0.85934,0.0
-0.06300,0.85934,0.0
-0.26100,0.85934,0.0
0.09600,0.85934,0.0
0.48000,0.85934,0.0
-0.04800,0.85934,0.0
0.23400,0.85934,0.0
0.27600,0.85934,0.0
-0.29400,0.85934,0.0
-0.05100,0.85934,0.0
-0.58500,0.85934,0.0
0.40500,0.85934,0.0
-0.30900,0.85934,0.0
-0.09900,0.85934,0.0
0.36900,0.85934,0.0
0.42300,0.85934,0.0
-0.47400,0.85934,0.0
-0.62700,0.85934,0.0
0.37500,0.85934,0.0
0.30900,0.85934,0.0
0.23700,0.85934,0.0
-0.43500,0.85934,0.0
0.25800,0.85934,0.0
0.51600,0.85934,0.0
-0.36600,0.85934,0.0
0.49200,0.85934,0.0
-0.11400,0.85639,0.0
0.25500,0.85639,0.0
0.11100,0.85639,0.0
-0.47100,0.85639,0.0
-0.13800,0.85639,0.0
0.48900,0.85639,0.0
-0.15000,0.85639,0.0
-0.20400,0.85639,0.0
-0.25800,0.85639,0.0
0.15900,0.85639,0.0
0.49800,0.85639,0.0
-0.57000,0.85639,0.0
0.07200,0.85639,0.0
-0.09300,0.85639,0.0
-0.39000,0.85639,0.0
0.56100,0.85639,0.0
0.39900,0.85639,0.0
-0.36600,0.85639,0.0
0.54300,0.85639,0.0
0.02100,0.85639,0.0
-0.33600,0.85639,0.0
0.31500,0.85639,0.0
-0.24600,0.85639,0.0
0.05400,0.85639,0.0
0.05700,0.85639,0.0
-0.61800,0.85639,0.0
0.36900,0.85639,0.0
0.07500,0.85639,0.0
0.02400,0.85639,0.0
-0.42000,0.85639,0.0
0.00900,0.85639,0.0
-0.43200,0.85639,0.0
-0.17100,0.85639,0.0
-0.33900,0.85639,0.0
0.29700,0.85639,0.0
0.12000,0.85639,0.0
-0.56400,0.85639,0.0
-0.46200,0.85639,0.0
-0.38400,0.85639,0.0
0.41400,0.85639,0.0
-0.05700,0.85639,0.0
0.41100,0.85639,0.0
-0.44400,0.85639,0.0
0.20100,0.85639,0.0
-0.43800,0.85639,0.0
0.53400,0.85639,0.0
0.09000,0.85639,0.0
-0.62100,0.85639,0.0
0.38100,0.85639,0.0
-0.17400,0.85639,0.0
-0.08100,0.85639,0.0
-0.28200,0.85639,0.0
0.48300,0.85639,0.0
-0.58500,0.85639,0.0
0.36600,0.85639,0.0
-0.15900,0.85639,0.0
-0.29400,0.85639,0.0
0.27600,0.85639,0.0
-0.62700,0.85639,0.0
0.21300,0.85639,0.0
-0.40800,0.85639,0.0
0.55200,0.85639,0.0
-0.39300,0.85639,0.0
0.53100,0.85639,0.0
0.35100,0.85639,0.0
-0.06900,0.85639,0.0
0.10500,0.85639,0.0
-0.12600,0.85639,0.0
0.01500,0.85639,0.0
0.15300,0.85639,0.0
0.27900,0.85639,0.0
-0.27900,0.85344,0.0
-0.54900,0.85344,0.0
-0.21300,0.85344,0.0
-0.37500,0.85344,0.0
0.08700,0.85344,0.0
-0.15300,0.85344,0.0
0.03900,0.85344,0.0
0.55500,0.85344,0.0
0.57900,0.85344,0.0
0.52500,0.85344,0.0
-0.46800,0.85344,0.0
0.47400,0.85344,0.0
0.11700,0.85344,0.0
0.46800,0.85344,0.0
0.26700,0.85344,0.0
-0.40800,0.85344,0.0
0.42000,0.85344,0.0
0.59100,0.85344,0.0
0.31500,0.85344,0.0
0.49200,0.85344,0.0
-0.07800,0.85344,0.0
-0.60900,0.85344,0.0
0.08400,0.85344,0.0
-0.46200,0.85344,0.0
-0.13200,0.85344,0.0
-0.59700,0.85344,0.0
-0.44400,0.85344,0.0
-0.33600,0.85344,0.0
-0.35100,0.85344,0.0
-0.43500,0.85344,0.0
0.51000,0.85344,0.0
-0.25500,0.85344,0.0
0.06600,0.85344,0.0
0.12300,0.85344,0.0
-0.06000,0.85344,0.0
-0.00900,0.85344,0.0
0.09300,0.85344,0.0
0.36000,0.85344,0.0
-0.11100,0.85344,0.0
0.51600,0.85344,0.0
-0.14700,0.85344,0.0
0.24000,0.85344,0.0
-0.28200,0.85344,0.0
-0.50400,0.85344,0.0
0.12900,0.85344,0.0
0.28800,0.85344,0.0
0.26100,0.85344,0.0
-0.03900,0.85344,0.0
0.27300,0.85344,0.0
0.48900,0.85344,0.0
-0.19500,0.85344,0.0
-0.33300,0.85344,0.0
-0.25200,0.85344,0.0
0.02100,0.85344,0.0
-0.32100,0.85344,0.0
-0.27000,0.85344,0.0
-0.06300,0.85344,0.0
0.18000,0.85344,0.0
-0.02700,0.85344,0.0
0.21600,0.85344,0.0
0.23700,0.85344,0.0
-0.52800,0.85344,0.0
0.34200,0.85344,0.0
-0.24600,0.85344,0.0
-0.45000,0.85344,0.0
-0.17700,0.85344,0.0
0.57600,0.85344,0.0
0.21900,0.85344,0.0
-0.49800,0.85344,0.0
-0.53700,0.85344,0.0
0.55500,0.85049,0.0
0.47400,0.85049,0.0
0.41700,0.85049,0.0
0.24600,0.85049,0.0
-0.51000,0.85049,0.0
-0.60000,0.85049,0.0
0.22800,0.85049,0.0
0.55200,0.85049,0.0
-0.38100,0.85049,0.0
0.24300,0.85049,0.0
-0.17100,0.85049,0.0
-0.61500,0.85049,0.0
-0.38400,0.85049,0.0
-0.33000,0.85049,0.0
-0.50400,0.85049,0.0
0.10200,0.85049,0.0
0.00600,0.85049,0.0
-0.59100,0.85049,0.0
-0.30600,0.85049,0.0
-0.01200,0.85049,0.0
-0.10200,0.85049,0.0
-0.08400,0.85049,0.0
-0.46800,0.85049,0.0
-0.54900,0.85049,0.0
0.20100,0.85049,0.0
-0.49200,0.85049,0.0
-0.43200,0.85049,0.0
-0.00600,0.85049,0.0
0.16800,0.85049,0.0
0.15300,0.85049,0.0
-0.39000,0.85049,0.0
-0.61200,0.85049,0.0
0.03300,0.85049,0.0
0.04800,0.85049,0.0
0.52200,0.85049,0.0
-0.54000,0.85049,0.0
0.57900,0.85049,0.0
0.39000,0.85049,0.0
-0.20400,0.85049,0.0
0.49800,0.85049,0.0
-0.45000,0.85049,0.0
0.54300,0.85049,0.0
0.21300,0.85049,0.0
0.47100,0.85049,0.0
-0.01800,0.85049,0.0
0.18600,0.85049,0.0
0.03000,0.85049,0.0
0.50700,0.85049,0.0
-0.58200,0.85049,0.0
-0.43500,0.85049,0.0
0.23400,0.85049,0.0
0.28800,0.85049,0.0
0.13500,0.85049,0.0
-0.35100,0.85049,0.0
0.27300,0.85049,0.0
0.48900,0.85049,0.0
-0.57600,0.85049,0.0
-0.60300,0.85049,0.0
0.23100,0.85049,0.0
0.50400,0.85049,0.0
-0.42300,0.85049,0.0
-0.52800,0.85049,0.0
0.35700,0.85049,0.0
-0.61800,0.85049,0.0
-0.32700,0.85049,0.0
-0.18600,0.85049,0.0
0.29400,0.85049,0.0
0.39300,0.85049,0.0
-0.52500,0.85049,0.0
-0.50700,0.85049,0.0
0.12600,0.85049,0.0
-0.44400,0.85049,0.0
-0.15000,0.85049,0.0
0.00900,0.85049,0.0
0.55800,0.85049,0.0
0.36300,0.85049,0.0
-0.57300,0.85049,0.0
0.06600,0.85049,0.0
0.21900,0.85049,0.0
-0.16800,0.85049,0.0
0.04500,0.85049,0.0
0.14400,0.85049,0.0
0.30300,0.85049,0.0
0.01800,0.85049,0.0
-0.40500,0.85049,0.0
-0.20100,0.84754,0.0
0.24900,0.84754,0.0
-0.51300,0.84754,0.0
0.31500,0.84754,0.0
-0.22200,0.84754,0.0
0.34200,0.84754,0.0
0.33300,0.84754,0.0
0.20400,0.84754,0.0
0.07800,0.84754,0.0
0.42000,0.84754,0.0
-0.29700,0.84754,0.0
-0.27900,0.84754,0.0
-0.40800,0.84754,0.0
0.41100,0.84754,0.0
-0.60300,0.84754,0.0
-0.31800,0.84754,0.0
0.46200,0.84754,0.0
-0.14400,0.84754,0.0
0.37200,0.84754,0.0
-0.36000,0.84754,0.0
0.57000,0.84754,0.0
0.50100,0.84754,0.0
-0.59700,0.84754,0.0
0.24600,0.84754,0.0
0.23400,0.84754,0.0
-0.61800,0.84754,0.0
-0.49800,0.84754,0.0
0.01500,0.84754,0.0
0.16200,0.84754,0.0
0.17400,0.84754,0.0
0.03900,0.84754,0.0
-0.63000,0.84754,0.0
0.55500,0.84754,0.0
0.57900,0.84754,0.0
-0.01800,0.84754,0.0
0.19800,0.84754,0.0
0.04500,0.84754,0.0
-0.20400,0.84754,0.0
-0.47100,0.84754,0.0
-0.39600,0.84754,0.0
-0.33300,0.84754,0.0
-0.58500,0.84754,0.0
0.39600,0.84754,0.0
-0.03300,0.84754,0.0
-0.53700,0.84754,0.0
0.08100,0.84754,0.0
-0.59100,0.84754,0.0
0.19500,0.84754,0.0
-0.33000,0.84754,0.0
-0.41700,0.84754,0.0
-0.50700,0.84754,0.0
0.29400,0.84754,0.0
-0.57000,0.84754,0.0
0.57600,0.84460,0.0
0.43200,0.84460,0.0
-0.35700,0.84460,0.0
0.20700,0.84460,0.0
-0.05400,0.84460,0.0
0.12900,0.84460,0.0
-0.34200,0.84460,0.0
-0.06000,0.84460,0.0
-0.21600,0.84460,0.0
0.53100,0.84460,0.0
-0.01500,0.84460,0.0
-0.07200,0.84460,0.0
-0.24900,0.84460,0.0
-0.29700,0.84460,0.0
0.21300,0.84460,0.0
-0.54300,0.84460,0.0
-0.58800,0.84460,0.0
0.49200,0.84460,0.0
-0.12900,0.84460,0.0
0.27900,0.84460,0.0
0.14700,0.84460,0.0
-0.55500,0.84460,0.0
-0.29400,0.84460,0.0
0.46500,0.84460,0.0
0.28800,0.84460,0.0
0.36600,0.84460,0.0
-0.52500,0.84460,0.0
-0.57600,0.84460,0.0
0.35700,0.84460,0.0
-0.39000,0.84460,0.0
0.30900,0.84460,0.0
-0.06900,0.84460,0.0
-0.58500,0.84460,0.0
-0.13500,0.84460,0.0
-0.50700,0.84460,0.0
0.25500,0.84460,0.0
0.55800,0.84460,0.0
-0.25800,0.84460,0.0
-0.44700,0.84460,0.0
-0.04800,0.84460,0.0
-0.02400,0.84460,0.0
0.18000,0.84460,0.0
-0.51600,0.84460,0.0
0.38100,0.84460,0.0
0.52500,0.84460,0.0
-0.23700,0.84460,0.0
-0.52800,0.84460,0.0
-0.16800,0.84460,0.0
0.54600,0.84460,0.0
-0.50100,0.84460,0.0
-0.34500,0.84460,0.0
-0.62100,0.84460,0.0
0.57000,0.84460,0.0
0.27600,0.84460,0.0
0.37800,0.84460,0.0
0.54300,0.84460,0.0
0.28500,0.84165,0.0
-0.22800,0.84165,0.0
0.02100,0.84165,0.0
0.14700,0.84165,0.0
0.11700,0.84165,0.0
-0.25500,0.84165,0.0
0.56400,0.84165,0.0
0.53400,0.84165,0.0
0.47400,0.84165,0.0
0.25800,0.84165,0.0
-0.19800,0.84165,0.0
-0.29100,0.84165,0.0
-0.35100,0.84165,0.0
0.00300,0.84165,0.0
-0.27600,0.84165,0.0
-0.43500,0.84165,0.0
-0.26100,0.84165,0.0
-0.23700,0.84165,0.0
0.09000,0.84165,0.0
-0.02700,0.84165,0.0
0.21000,0.84165,0.0
-0.59100,0.84165,0.0
-0.36300,0.84165,0.0
0.37500,0.84165,0.0
-0.57000,0.84165,0.0
-0.46800,0.84165,0.0
-0.51300,0.84165,0.0
-0.51900,0.84165,0.0
0.55200,0.84165,0.0
-0.06300,0.84165,0.0
0.40500,0.84165,0.0
-0.61800,0.84165,0.0
0.25500,0.84165,0.0
-0.17700,0.84165,0.0
0.32700,0.84165,0.0
-0.27300,0.84165,0.0
-0.21600,0.84165,0.0
-0.03300,0.84165,0.0
0.42900,0.84165,0.0
0.58500,0.84165,0.0
-0.50700,0.84165,0.0
-0.63000,0.84165,0.0
-0.34500,0.84165,0.0
-0.52500,0.84165,0.0
-0.47700,0.84165,0.0
-0.18300,0.84165,0.0
0.13200,0.84165,0.0
-0.28200,0.84165,0.0
-0.58500,0.84165,0.0
0.23400,0.84165,0.0
-0.36000,0.84165,0.0
-0.47400,0.84165,0.0
0.34800,0.84165,0.0
-0.39900,0.84165,0.0
0.54900,0.84165,0.0
-0.60900,0.84165,0.0
0.59700,0.84165,0.0
-0.20400,0.84165,0.0
-0.49800,0.84165,0.0
0.24000,0.84165,0.0
-0.61200,0.84165,0.0
0.18300,0.84165,0.0
0.21900,0.84165,0.0
0.08700,0.84165,0.0
-0.21300,0.84165,0.0
-0.08100,0.84165,0.0
-0.08700,0.84165,0.0
0.13500,0.84165,0.0
0.33900,0.84165,0.0
0.48000,0.83870,0.0
-0.03900,0.83870,0.0
-0.23400,0.83870,0.0
0.00300,0.83870,0.0
-0.09300,0.83870,0.0
0.07500,0.83870,0.0
0.53400,0.83870,0.0
-0.44700,0.83870,0.0
0.54900,0.83870,0.0
0.37500,0.83870,0.0
0.30300,0.83870,0.0
-0.12000,0.83870,0.0
-0.52200,0.83870,0.0
-0.00600,0.83870,0.0
-0.25200,0.83870,0.0
-0.36300,0.83870,0.0
0.07800,0.83870,0.0
-0.38400,0.83870,0.0
0.17400,0.83870,0.0
0.49500,0.83870,0.0
0.25200,0.83870,0.0
-0.14100,0.83870,0.0
0.20100,0.83870,0.0
0.29700,0.83870,0.0
0.32700,0.83870,0.0
-0.05100,0.83870,0.0
0.24000,0.83870,0.0
-0.24600,0.83870,0.0
0.21600,0.83870,0.0
-0.42600,0.83870,0.0
0.33000,0.83870,0.0
-0.39300,0.83870,0.0
0.03900,0.83870,0.0
-0.24300,0.83870,0.0
-0.13200,0.83870,0.0
0.27900,0.83870,0.0
0.06000,0.83870,0.0
-0.63600,0.83870,0.0
-0.51300,0.83870,0.0
-0.60300,0.83870,0.0
-0.21600,0.83870,0.0
-0.39600,0.83870,0.0
-0.15300,0.83870,0.0
-0.40200,0.83870,0.0
-0.34800,0.83870,0.0
-0.55800,0.83870,0.0
-0.63300,0.83870,0.0
-0.02700,0.83870,0.0
0.35400,0.83870,0.0
-0.50700,0.83870,0.0
-0.07500,0.83870,0.0
-0.13500,0.83870,0.0
-0.09600,0.83870,0.0
0.02700,0.83870,0.0
0.38100,0.83870,0.0
0.04800,0.83870,0.0
0.46200,0.83870,0.0
-0.60600,0.83870,0.0
-0.18300,0.83870,0.0
-0.37800,0.83870,0.0
0.34200,0.83870,0.0
0.21000,0.83870,0.0
-0.11400,0.83870,0.0
-0.20700,0.83575,0.0
-0.60900,0.83575,0.0
0.13200,0.83575,0.0
-0.48600,0.83575,0.0
-0.34800,0.83575,0.0
0.34500,0.83575,0.0
-0.07500,0.83575,0.0
0.16500,0.83575,0.0
0.34200,0.83575,0.0
-0.03900,0.83575,0.0
0.32100,0.83575,0.0
-0.42600,0.83575,0.0
0.01200,0.83575,0.0
0.19200,0.83575,0.0
0.57600,0.83575,0.0
-0.13500,0.83575,0.0
-0.19200,0.83575,0.0
-0.44100,0.83575,0.0
0.45900,0.83575,0.0
-0.12900,0.83575,0.0
-0.05100,0.83575,0.0
0.09300,0.83575,0.0
-0.28800,0.83575,0.0
-0.46500,0.83575,0.0
0.33000,0.83575,0.0
-0.53400,0.83575,0.0
-0.02700,0.83575,0.0
-0.24600,0.83575,0.0
0.43800,0.83575,0.0
-0.57300,0.83575,0.0
0.36900,0.83575,0.0
-0.03600,0.83575,0.0
-0.04500,0.83575,0.0
0.34800,0.83575,0.0
-0.45000,0.83575,0.0
-0.60600,0.83575,0.0
0.11400,0.83575,0.0
-0.36000,0.83575,0.0
-0.56400,0.83575,0.0
0.01800,0.83575,0.0
-0.07800,0.83575,0.0
0.39900,0.83575,0.0
-0.11700,0.83575,0.0
0.21900,0.83575,0.0
-0.45600,0.83575,0.0
-0.15300,0.83575,0.0
-0.57000,0.83575,0.0
0.35400,0.83575,0.0
-0.40500,0.83575,0.0
-0.24300,0.83575,0.0
0.12300,0.83575,0.0
0.19500,0.83575,0.0
-0.00300,0.83575,0.0
0.49200,0.83575,0.0
0.39000,0.83575,0.0
-0.48000,0.83575,0.0
-0.31500,0.83575,0.0
-0.36900,0.83575,0.0
-0.19800,0.83575,0.0
0.02400,0.83575,0.0
0.31500,0.83575,0.0
0.05400,0.83575,0.0
-0.08400,0.83575,0.0
-0.63600,0.83575,0.0
-0.36300,0.83575,0.0
-0.59700,0.83575,0.0
-0.50100,0.83575,0.0
-0.28200,0.83575,0.0
0.48300,0.83575,0.0
-0.57600,0.83575,0.0
-0.48600,0.83280,0.0
-0.52800,0.83280,0.0
0.10500,0.83280,0.0
-0.50100,0.83280,0.0
-0.60300,0.83280,0.0
-0.41100,0.83280,0.0
0.48600,0.83280,0.0
0.46800,0.83280,0.0
0.43500,0.83280,0.0
-0.05700,0.83280,0.0
0.38100,0.83280,0.0
0.46200,0.83280,0.0
0.42600,0.83280,0.0
0.48300,0.83280,0.0
-0.24900,0.83280,0.0
-0.15900,0.83280,0.0
-0.12000,0.83280,0.0
0.26100,0.83280,0.0
0.13500,0.83280,0.0
0.31200,0.83280,0.0
0.22200,0.83280,0.0
0.24900,0.83280,0.0
-0.63900,0.83280,0.0
0.58800,0.83280,0.0
-0.20400,0.83280,0.0
0.09600,0.83280,0.0
0.31800,0.83280,0.0
0.56400,0.83280,0.0
-0.15300,0.83280,0.0
-0.09000,0.83280,0.0
0.17100,0.83280,0.0
0.04500,0.83280,0.0
-0.39900,0.83280,0.0
0.60000,0.83280,0.0
-0.23400,0.83280,0.0
-0.21000,0.83280,0.0
0.04200,0.83280,0.0
0.57300,0.83280,0.0
0.03000,0.83280,0.0
-0.18000,0.83280,0.0
-0.11400,0.83280,0.0
0.13800,0.83280,0.0
0.35700,0.83280,0.0
-0.15000,0.83280,0.0
0.08100,0.83280,0.0
0.53400,0.83280,0.0
0.30900,0.83280,0.0
-0.43800,0.83280,0.0
0.45600,0.83280,0.0
-0.52200,0.83280,0.0
-0.07500,0.83280,0.0
0.12600,0.83280,0.0
0.23400,0.83280,0.0
-0.50400,0.83280,0.0
-0.03900,0.83280,0.0
0.28500,0.83280,0.0
0.21000,0.83280,0.0
-0.55800,0.83280,0.0
-0.00900,0.83280,0.0
-0.54000,0.83280,0.0
0.34800,0.83280,0.0
-0.47400,0.83280,0.0
0.26400,0.83280,0.0
-0.48900,0.82986,0.0
0.54600,0.82986,0.0
-0.28200,0.82986,0.0
-0.46800,0.82986,0.0
-0.53400,0.82986,0.0
-0.40200,0.82986,0.0
